"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030335","GO:0030335","positive regulation of cell migration","168/3609","464/14366",4.65411890246862e-08,0.000246913665919288,0.000208415181633687,"TNFRSF14/PIK3CD/MTOR/EPHB2/DOCK7/CCN1/F3/SRGAP2C/SEMA6C/LAMC2/TGFB2/AGT/ADAM17/RTN4/SEMA4C/TNFAIP6/ITGA4/NRP2/TWIST2/IQSEC1/TGFBR2/CCR1/GNAI2/CD47/GATA2/P2RY12/IL12A/CLDN1/KIT/KDR/RUFY3/PPP3CA/LEF1/FGF2/GAB1/PDGFC/VEGFC/TERT/NIPBL/DAB2/ITGA2/PLK2/PIK3R1/F2R/F2RL1/APC/SEMA6A/FGF1/SH3RF2/CSF1R/PDGFRB/NEDD9/EDN1/CARMIL1/PTP4A1/PDGFA/HDAC9/GPNMB/EGFR/CLDN4/SEMA3A/SERPINE1/DOCK4/PODXL/PTN/SNAI2/SDCBP/ANGPT1/ENPP2/HAS2/CCN4/FAM83H/DOCK8/CDKN2B-AS1/ANXA1/TGFBR1/NR4A3/TRIM32/ABL1/NSMF/GATA3/JCAD/NRP1/VSIR/PLAU/SEMA4G/SHTN1/ADAM8/SWAP70/RRAS2/PIK3C2A/MDK/VEGFB/FADD/NOX4/ATM/RDX/MCAM/TIRAP/ETS1/JAM3/C3AR1/HDAC7/P2RX4/SCARB1/MMP14/PRKD1/FERMT2/LGALS3/HIF1A/RHOJ/PGF/LGMN/AKT1/THBS1/SEMA6D/ONECUT1/ADAM10/SMAD3/CTSH/IQGAP1/IGF1R/PDPK1/CORO1A/PYCARD/TRADD/PLCG2/CDH13/FOXF1/FBXO31/PFN1/GRB7/STAT5A/GRN/ITGA2B/ITGB3/ITGA3/MAP3K3/PECAM1/SMURF2/SOX9/SPHK1/ACTG1/ONECUT2/DAPK3/SEMA6B/GPI/TGFB1/FUT1/MYADM/ANGPT4/FERMT1/BMP2/RIN2/STK4/MMP9/CASS4/ADAMTS1/MAPK1/HMOX1/RAC2/PDGFB/XG/TMSB4X/ATP7A/SRPX2/PLP1/PAK3",168
"GO:0040017","GO:0040017","positive regulation of locomotion","174/3609","491/14366",1.46439658096438e-07,0.000246913665919288,0.000208415181633687,"TNFRSF14/PIK3CD/MTOR/EPHB2/DOCK7/CCN1/F3/SRGAP2C/SEMA6C/LAMC2/TGFB2/AGT/ADAM17/RTN4/SEMA4C/TNFAIP6/ITGA4/NRP2/TWIST2/IQSEC1/TGFBR2/CCR1/GNAI2/CD47/GATA2/P2RY12/IL12A/CLDN1/KIT/KDR/RUFY3/PPP3CA/LEF1/FGF2/GAB1/PDGFC/VEGFC/TERT/NIPBL/DAB2/ITGA2/PLK2/PIK3R1/F2R/F2RL1/APC/SEMA6A/FGF1/SH3RF2/CSF1R/PDGFRB/NEDD9/EDN1/CARMIL1/PTP4A1/TPBG/BVES/PDGFA/HDAC9/TWIST1/GPNMB/EGFR/CLDN4/SEMA3A/CFAP69/SERPINE1/DOCK4/PODXL/PTN/SNAI2/SDCBP/ANGPT1/ENPP2/HAS2/CCN4/FAM83H/DOCK8/CDKN2B-AS1/ANXA1/TGFBR1/NR4A3/TRIM32/ABL1/PHPT1/NSMF/GATA3/JCAD/NRP1/VSIR/PLAU/SEMA4G/SHTN1/ADAM8/SWAP70/RRAS2/PIK3C2A/MDK/STX3/VEGFB/FADD/NOX4/ATM/RDX/MCAM/TIRAP/ETS1/JAM3/C3AR1/HDAC7/P2RX4/SCARB1/MMP14/PRKD1/FERMT2/LGALS3/HIF1A/RHOJ/PGF/LGMN/AKT1/THBS1/SEMA6D/ONECUT1/ADAM10/SMAD3/CTSH/IQGAP1/IGF1R/PDPK1/CORO1A/PYCARD/TRADD/PLCG2/CDH13/FOXF1/FBXO31/PFN1/GRB7/STAT5A/GRN/ITGA2B/ITGB3/ITGA3/MAP3K3/PECAM1/SMURF2/SOX9/SPHK1/ACTG1/ONECUT2/DAPK3/SEMA6B/GPI/TGFB1/FUT1/MYADM/ANGPT4/FERMT1/BMP2/RIN2/STK4/MMP9/CASS4/ADAMTS1/MAPK1/HMOX1/RAC2/PDGFB/XG/TMSB4X/ATP7A/SRPX2/PLP1/PAK3",174
"GO:2000147","GO:2000147","positive regulation of cell motility","171/3609","481/14366",1.47192756840951e-07,0.000246913665919288,0.000208415181633687,"TNFRSF14/PIK3CD/MTOR/EPHB2/DOCK7/CCN1/F3/SRGAP2C/SEMA6C/LAMC2/TGFB2/AGT/ADAM17/RTN4/SEMA4C/TNFAIP6/ITGA4/NRP2/TWIST2/IQSEC1/TGFBR2/CCR1/GNAI2/CD47/GATA2/P2RY12/IL12A/CLDN1/KIT/KDR/RUFY3/PPP3CA/LEF1/FGF2/GAB1/PDGFC/VEGFC/TERT/NIPBL/DAB2/ITGA2/PLK2/PIK3R1/F2R/F2RL1/APC/SEMA6A/FGF1/SH3RF2/CSF1R/PDGFRB/NEDD9/EDN1/CARMIL1/PTP4A1/PDGFA/HDAC9/TWIST1/GPNMB/EGFR/CLDN4/SEMA3A/CFAP69/SERPINE1/DOCK4/PODXL/PTN/SNAI2/SDCBP/ANGPT1/ENPP2/HAS2/CCN4/FAM83H/DOCK8/CDKN2B-AS1/ANXA1/TGFBR1/NR4A3/TRIM32/ABL1/PHPT1/NSMF/GATA3/JCAD/NRP1/VSIR/PLAU/SEMA4G/SHTN1/ADAM8/SWAP70/RRAS2/PIK3C2A/MDK/VEGFB/FADD/NOX4/ATM/RDX/MCAM/TIRAP/ETS1/JAM3/C3AR1/HDAC7/P2RX4/SCARB1/MMP14/PRKD1/FERMT2/LGALS3/HIF1A/RHOJ/PGF/LGMN/AKT1/THBS1/SEMA6D/ONECUT1/ADAM10/SMAD3/CTSH/IQGAP1/IGF1R/PDPK1/CORO1A/PYCARD/TRADD/PLCG2/CDH13/FOXF1/FBXO31/PFN1/GRB7/STAT5A/GRN/ITGA2B/ITGB3/ITGA3/MAP3K3/PECAM1/SMURF2/SOX9/SPHK1/ACTG1/ONECUT2/DAPK3/SEMA6B/GPI/TGFB1/FUT1/MYADM/ANGPT4/FERMT1/BMP2/RIN2/STK4/MMP9/CASS4/ADAMTS1/MAPK1/HMOX1/RAC2/PDGFB/XG/TMSB4X/ATP7A/SRPX2/PLP1/PAK3",171
"GO:0051272","GO:0051272","positive regulation of cellular component movement","174/3609","492/14366",1.71252713287571e-07,0.000246913665919288,0.000208415181633687,"TNFRSF14/PIK3CD/MTOR/EPHB2/DOCK7/CCN1/F3/SRGAP2C/SEMA6C/LAMC2/TGFB2/AGT/ADAM17/RTN4/SEMA4C/TNFAIP6/ITGA4/NRP2/TWIST2/IQSEC1/TGFBR2/CCR1/GNAI2/CD47/GATA2/P2RY12/IL12A/CLDN1/KIT/KDR/RUFY3/PPP3CA/LEF1/FGF2/GAB1/PDGFC/VEGFC/TERT/NIPBL/DAB2/ITGA2/PLK2/PIK3R1/F2R/F2RL1/APC/SEMA6A/FGF1/SH3RF2/CSF1R/PDGFRB/TUBB2B/NEDD9/EDN1/CARMIL1/PTP4A1/PDGFA/HDAC9/TWIST1/GPNMB/EGFR/CLDN4/SEMA3A/CFAP69/SERPINE1/DOCK4/PODXL/PTN/SNAI2/SDCBP/ANGPT1/ENPP2/HAS2/CCN4/FAM83H/DOCK8/CDKN2B-AS1/ANXA1/TGFBR1/NR4A3/TRIM32/ABL1/PHPT1/NSMF/GATA3/JCAD/NRP1/VSIR/PLAU/SEMA4G/SHTN1/ADAM8/SWAP70/RRAS2/PIK3C2A/MDK/VEGFB/FADD/NOX4/ATM/RDX/MCAM/FEZ1/TIRAP/ETS1/JAM3/C3AR1/HDAC7/P2RX4/SCARB1/MMP14/PRKD1/FERMT2/LGALS3/HIF1A/RHOJ/PGF/LGMN/AKT1/THBS1/SEMA6D/ONECUT1/ADAM10/SMAD3/CTSH/IQGAP1/IGF1R/PDPK1/CORO1A/PYCARD/TRADD/PLCG2/CDH13/FOXF1/FBXO31/PFN1/GRB7/STAT5A/GRN/ITGA2B/ITGB3/ITGA3/MAP3K3/PECAM1/SMURF2/SOX9/SPHK1/ACTG1/ONECUT2/DAPK3/SEMA6B/GPI/TGFB1/RPS19/FUT1/MYADM/ANGPT4/FERMT1/BMP2/RIN2/STK4/MMP9/CASS4/ADAMTS1/MAPK1/HMOX1/RAC2/PDGFB/XG/TMSB4X/ATP7A/SRPX2/PLP1/PAK3",174
"GO:0042330","GO:0042330","taxis","166/3609","467/14366",2.26143970917366e-07,0.000246913665919288,0.000208415181633687,"PLEKHG5/PIK3CD/EPHA2/NBL1/EPHB2/LYPLA2/MACO1/PDE4B/CCN1/F3/SEMA6C/EFNA4/EFNA3/EFNA1/LHX4/LAMC2/LHX9/PLXNA2/TGFB2/ADAM17/GDF7/SEMA4C/DPP4/NRP2/GBX2/HRH1/CMTM7/CCR1/ROBO2/EPHA6/GAP43/PLXNA1/PLXND1/RYK/P2RY12/IL12A/PLD1/KIT/KDR/EPHA5/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/BMPR1B/LEF1/FGF2/GAB1/PALLD/VEGFC/CCL28/ISL1/ITGA2/FOXD1/F2RL1/SEMA6A/LOX/SLC12A2/FGF1/CSF1R/PDGFRB/SLIT3/DOCK2/TUBB2B/EDN1/MAPK14/TPBG/FYN/PDGFA/GPNMB/HOXA2/GLI3/SEMA3A/SERPINE1/DOCK4/PLXNA4/PTN/FZD3/ANGPT1/EXT1/CCN3/ENPP2/ANXA1/SYK/NINJ1/LPAR1/GATA3/KIF5B/NRP1/ALOX5/MYPN/PLAU/NRG3/SEMA4G/ADAM8/SWAP70/PARVA/SAA1/PAX6/MDK/PTPRJ/STX3/VEGFB/CORO1B/GSTP1/NECTIN1/ROBO3/ROBO4/FEZ1/TIRAP/JAM3/C3AR1/PTPRO/KIF5A/PLXNC1/P2RX4/EDNRB/PRKD1/LGALS3/PGF/NRXN3/FLRT2/RPS6KA5/LGMN/CYFIP1/THBS1/SEMA6D/ADAM10/MAP2K1/SMAD3/NPTN/ISL2/CORO1A/NOD2/CDH13/EFNB3/CCL18/LHX1/DUSP3/WNT3/ITGB3/NOG/LAMA1/PTPRM/RALBP1/LAMA3/RNF165/SMAD4/TNFRSF11A/SEMA6B/TGFB1/RPS19/TRPM4/ELMO2/LAMA5/ITGB2/MAPK1/RAC2/PLA2G6/PDGFB/EP300/TYMP/TMSB4X/PLP2/OPHN1",166
"GO:0001667","GO:0001667","ameboidal-type cell migration","138/3609","375/14366",2.52812627221114e-07,0.000246913665919288,0.000208415181633687,"PLEKHG5/TMEM201/PIK3CD/MTOR/EPHA2/RCC2/WASF2/PHACTR4/CAP1/SEMA6C/S100A2/EFNA1/TGFB2/AGT/ADAM17/RTN4/SEMA4C/ZEB2/DPP4/FAP/ITGA4/NRP2/GBX2/PPARG/IQSEC1/TGFBR2/FSTL1/GATA2/PLXND1/AMOTL2/P2RY12/KIT/KDR/PITX2/FGF2/FBXW7/VEGFC/ISL1/ITGA2/PLK2/ARSB/SEMA6A/FGF1/EDN1/PPARD/TPBG/GJA1/HDAC9/TWIST1/SEMA3A/PTN/LOXL2/STC1/YTHDF3/ANGPT1/CCN3/ENPP2/HAS2/KANK1/TESK1/ANXA1/TGFBR1/KLF4/ABL1/GATA3/JCAD/NRP1/ARID5B/MMRN2/SEMA4G/NANOS1/PIK3C2A/LPXN/CORO1B/FOLR1/ETS1/ADIPOR2/ARHGDIB/HDAC7/PTPRR/ALX1/CORO1C/P2RX4/SCARB1/EDNRB/PRKD1/HIF1A/RHOJ/LGMN/AKT1/THBS1/SEMA6D/DNAJA4/CTSH/SOX8/PDPK1/EMP2/PLCG2/CDH13/PFN1/NF1/KRT16/JUP/STAT5A/GRN/ITGB3/ITGA3/MAP3K3/SMURF2/SOX9/ITGB4/CYGB/PTPRM/ROCK1/CDH2/SEMA6B/PKN1/GIPC1/GPI/TGFB1/FUT1/ANGPT4/FERMT1/RIN2/ID1/SDC4/MMP9/LAMA5/TBX1/HMOX1/CARD10/SH3BP1/SOX10/PDGFB/TMSB4X/SRPX2/PAK3/MECP2",138
"GO:0006935","GO:0006935","chemotaxis","165/3609","466/14366",3.27249974098314e-07,0.000273954978316588,0.000231240244855335,"PLEKHG5/PIK3CD/EPHA2/NBL1/EPHB2/LYPLA2/MACO1/PDE4B/CCN1/F3/SEMA6C/EFNA4/EFNA3/EFNA1/LHX4/LAMC2/LHX9/PLXNA2/TGFB2/ADAM17/GDF7/SEMA4C/DPP4/NRP2/GBX2/HRH1/CMTM7/CCR1/ROBO2/EPHA6/GAP43/PLXNA1/PLXND1/RYK/P2RY12/IL12A/PLD1/KIT/KDR/EPHA5/CXCL6/CXCL1/CXCL5/CXCL3/CXCL2/BMPR1B/LEF1/FGF2/GAB1/PALLD/VEGFC/CCL28/ISL1/ITGA2/FOXD1/F2RL1/SEMA6A/LOX/SLC12A2/FGF1/CSF1R/PDGFRB/SLIT3/DOCK2/TUBB2B/EDN1/MAPK14/TPBG/FYN/PDGFA/GPNMB/HOXA2/GLI3/SEMA3A/SERPINE1/DOCK4/PLXNA4/PTN/FZD3/ANGPT1/EXT1/CCN3/ENPP2/ANXA1/SYK/NINJ1/LPAR1/GATA3/KIF5B/NRP1/ALOX5/MYPN/PLAU/NRG3/SEMA4G/ADAM8/SWAP70/PARVA/SAA1/PAX6/MDK/PTPRJ/STX3/VEGFB/CORO1B/GSTP1/NECTIN1/ROBO3/ROBO4/FEZ1/TIRAP/JAM3/C3AR1/PTPRO/KIF5A/PLXNC1/P2RX4/EDNRB/PRKD1/LGALS3/PGF/NRXN3/FLRT2/RPS6KA5/LGMN/CYFIP1/THBS1/SEMA6D/ADAM10/MAP2K1/SMAD3/NPTN/ISL2/CORO1A/NOD2/CDH13/EFNB3/CCL18/LHX1/DUSP3/WNT3/ITGB3/NOG/LAMA1/PTPRM/RALBP1/LAMA3/RNF165/SMAD4/TNFRSF11A/SEMA6B/TGFB1/RPS19/TRPM4/ELMO2/LAMA5/ITGB2/MAPK1/RAC2/PLA2G6/PDGFB/TYMP/TMSB4X/PLP2/OPHN1",165
"GO:0048732","GO:0048732","gland development","137/3609","378/14366",7.54338670726472e-07,0.000552553076307141,0.000466399659703117,"EPHA2/RAP1GAP/HMGCL/RPS6KA1/WLS/ACADM/TGFBR3/RAP1A/PYGO2/MTX1/ASH1L/PBX1/ELF3/TGFB2/HLX/ID2/WDR35/GDF7/XDH/RTN4/PNPT1/TGFA/HOXD13/CUL3/TGFBR2/PLXNA1/GATA2/PLXND1/CLCN2/TP63/CLDN1/QDPR/AREG/PKD2/LEF1/PITX2/FGF2/FBXW7/HMGCS1/ISL1/ITGA2/FGF1/CSF1R/NKX2-5/FOXC1/DDR1/DDX39B/TNFAIP3/CITED2/LATS1/PDGFA/MAD1L1/HOXA3/HOXA5/GLI3/COBL/EGFR/SEMA3A/PTN/SFRP1/GPAT4/POLB/PLAG1/EXT1/ANXA1/TGFBR1/ASS1/ABL1/GATA3/UPF2/NRP1/ARID5B/PSAP/NRG3/DKK3/PAX6/WT1/MDK/CPT1A/CCND1/FADD/TYR/ETS1/KRT18/STAT6/NTN4/OAS2/TBX3/ORAI1/NCOR2/AACS/PCK2/FOXA1/SIX1/SIX4/HIF1A/SERPINA5/AKT1/ONECUT1/MAP2K1/SMAD3/STRA6/ALDH1A3/SALL1/GOT2/CDH1/FOXF1/CTC1/NF1/STAT5A/WNT3/HOXB13/NOG/TBX2/SOX9/LAMA1/GATA6/SMAD2/SMAD4/ONECUT2/TNFRSF11A/USF2/TGFB1/BMP2/TGM2/ADA/LAMA5/TBX1/MAPK1/HMOX1/SOX10/TSPO/ELK1/MSN/UPRT/ATP7A/APLN",137
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","78/3609","193/14366",1.91698652661678e-06,0.00107134062451136,0.000904298472171525,"PARK7/DHDDS/OSBPL9/SCP2/DHCR24/PRKAA2/GBA/HSD17B7/TGFB2/LBR/ITPKB/CHML/ZEB2/OSBPL6/PER2/HRH1/IP6K1/CLCN2/QDPR/SNCA/FGF2/MSMO1/SLC45A2/AMACR/HMGCS1/HMGCR/FGF1/BMP6/IP6K3/CYP51A1/GPR37/INSIG1/FDFT1/ASAH1/SNAI2/SQLE/IDI1/AKR1C3/GATA3/ERLIN1/CYB5R2/DKK3/OSBP/DHCR7/TYR/PTS/SC5D/PMEL/CYP27B1/MVK/DCT/PCK2/GCH1/ERG28/SPTLC2/OCA2/SLC27A2/CDH3/PLCG2/MVD/CTNS/HSD17B1/OSBPL7/SPHK1/MFSD12/GIPC1/ISYNA1/ITPKC/SPHK2/BMP2/NTSR1/PDXK/LSS/SEC14L2/CYB5R3/EBP/ATP7A/NSDHL",78
"GO:0001525","GO:0001525","angiogenesis","160/3609","461/14366",1.95620756524363e-06,0.00107134062451136,0.000904298472171525,"PIK3CD/EPHA2/HSPG2/EPHB2/WASF2/ATP5IF1/JUN/JAK1/CCN1/F3/SARS1/EFNA3/EFNA1/SH2D2A/CHI3L1/VASH2/TGFB2/AGT/EMILIN1/TGFA/EIF2AK3/IL1A/FAP/STAT1/CASP8/NRP2/GBX2/PPARG/TGFBR2/SETD2/GATA2/PLXND1/AMOTL2/IL12A/APOD/KDR/EPGN/EREG/LEF1/NDNF/FGF2/GAB1/FBXW7/VEGFC/TERT/ISL1/PLK2/ERAP1/SEMA6A/SLC12A2/TGFBI/FGF1/SPINK5/PDGFRB/FOXC1/EDN1/MAPK14/CCN2/TNFAIP3/THBS2/PDGFA/HDAC9/TWIST1/ITGB8/GPNMB/HOXA3/HOXA5/AQP1/SERPINE1/TSPAN12/PTN/HIPK2/LOXL2/SFRP1/MTDH/ANGPT1/CCN3/ENPP2/ANXA1/SYK/NINJ1/TGFBR1/KLF4/ABL1/JCAD/NRP1/ALOX5/MMRN2/ADAM8/RNH1/STIM1/ADM/PARVA/PDE3B/PIK3C2A/HTATIP2/MDK/VEGFB/MCAM/ROBO4/ETS1/JAM3/ADIPOR2/C3AR1/APOLD1/RAPGEF3/HDAC7/HMGA2/PTPRB/KLF5/COL4A2/MMP14/NFATC4/PRKD1/HIF1A/RHOJ/PGF/WARS1/TNFAIP2/AKT1/THBS1/CSPG4/CTSH/MINAR1/ANPEP/PDPK1/EMP2/PRKCB/CDH13/NF1/JUP/GRN/ITGB3/HOXB13/MAP3K3/SPHK1/JMJD6/ACTG1/PTPRM/ROCK1/GATA6/KLF2/YJEFN3/FUT1/ANGPT4/PANK2/ISM1/ID1/STK4/ADAMTS1/TBX1/HMOX1/CARD10/CCDC134/ADM2/TYMP/SAT1/SRPX2/APLN/MECP2",160
